platform,status,area,key,english,indonesian,files
"web","keyed","web:auth","auth.passwordMustBeAtLeast","Password must be at least 8 characters","Kata sandi minimal 8 karakter","app/reset-password/page.tsx"
"web","keyed","web:auth","auth.passwordsDoNotMatch","Passwords do not match","Kata sandi tidak cocok","app/reset-password/page.tsx"
"web","keyed","web:auth","auth.resetFailed","Reset failed","Gagal mereset","app/reset-password/page.tsx"
"web","keyed","web:auth","auth.somethingWentWrong","Something went wrong","Terjadi kesalahan","app/forgot-password/page.tsx"
"web","keyed","web:auth","auth.verificationFailed","Verification failed","Verifikasi gagal","app/verify-email/page.tsx"
"web","keyed","web:automation","automation.aConditionalEntryPointAdds","A conditional entry point - adds a keyword branch","Titik masuk bersyarat - menambahkan cabang kata kunci","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.addRowToGoogleSheet","Add row to Google Sheet","Tambah baris ke Google Sheet","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.addTag","Add tag","Tambah tag","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.addToCampaign","Add to campaign","Tambah ke kampanye","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.allMessagesNoCondition","All messages / no condition","Semua pesan / tanpa kondisi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.assignToTeamMember","Assign to team member","Tugaskan ke anggota tim","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.backspace","Backspace","Backspace","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.branchOnAContactAttribute","Branch on a contact attribute (match / else)","Bercabang berdasarkan atribut kontak (cocok / lainnya)","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.callRestApi","Call REST API","Panggil REST API","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","dashboard.interestCold","Cold","Cold","app/(app)/automation/[id]/flow/page.tsx;app/(app)/contacts/page.tsx;app/(app)/dashboard/DashboardView.tsx;app/(app)/inbox/components/ConversationList.tsx;app/(app)/inbox/components/InterestMenu.tsx;components/inbox/ChatSidebar.tsx"
"web","keyed","web:automation","automation.contains","Contains","Mengandung","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.containsAllKeywords","Contains all keywords","Mengandung semua kata kunci","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.containsAnyKeyword","Contains any keyword","Mengandung kata kunci apa pun","app/(app)/automation/[id]/flow/page.tsx"
"web","new","web:automation","automation.couldNotUpdateStatus","Could not update status","Gagal memperbarui status","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.criteriaRouter","Criteria Router","Router Kriteria","app/(app)/automation/[id]/flow/page.tsx"
