platform,status,area,key,english,indonesian
"backend","new","backend:conversation","conversation.followUpWith","Follow up with","Tindak lanjuti dengan"
"backend","new","backend:conversation","conversation.snoozeEnded","Snooze ended","Penundaan berakhir"
"backend","new","backend:conversation","conversation.snoozeEndingSoonGetReady","Snooze ending soon. Get ready to follow up.","Penundaan segera berakhir. Bersiap untuk tindak lanjut."
"mobile","new","mobile:auth","auth.atLeast8Characters","At least 8 characters","Minimal 8 karakter"
"mobile","new","mobile:auth","auth.backToSignIn","Back to sign in","Kembali ke masuk"
"mobile","new","mobile:auth","auth.checkYourEmail","Check your email","Periksa email Anda"
"mobile","new","mobile:auth","auth.chooseANewPasswordAt","Choose a new password (at least 8 characters).","Pilih kata sandi baru (minimal 8 karakter)."
"mobile","new","mobile:auth","auth.confirmPassword","Confirm password","Konfirmasi kata sandi"
"mobile","new","mobile:auth","auth.enterAValidEmail","Enter a valid email","Masukkan email yang valid"
"mobile","new","mobile:auth","auth.enterYourAccountEmailAnd","Enter your account email and we will send a reset link.","Masukkan email akun Anda dan kami akan mengirim tautan reset."
"mobile","new","mobile:auth","auth.enterYourEmail","Enter your email","Masukkan email Anda"
"mobile","new","mobile:auth","auth.enterYourPassword","Enter your password","Masukkan kata sandi Anda"
"mobile","new","mobile:auth","auth.forgotPassword","Forgot password?","Lupa kata sandi?"
"mobile","new","mobile:auth","auth.ifAnAccountExistsFor","If an account exists for that email, a reset link is on its way.","Jika akun dengan email itu ada, tautan reset sedang dikirim."
"mobile","new","mobile:auth","auth.invalidLink","Invalid link","Tautan tidak valid"
"mobile","new","mobile:auth","auth.newPassword","New password","Kata sandi baru"
"mobile","new","mobile:auth","auth.passwordUpdated","Password updated","Kata sandi diperbarui"
"mobile","new","mobile:auth","auth.passwordsDoNotMatch","Passwords do not match","Kata sandi tidak cocok"
"mobile","new","mobile:auth","auth.resetPassword","Reset password","Reset kata sandi"
"mobile","new","mobile:auth","auth.sendResetLink","Send reset link","Kirim tautan reset"
"mobile","new","mobile:auth","auth.signIn","Sign in","Masuk"
"mobile","new","mobile:auth","auth.thisResetLinkIsMissing","This reset link is missing or malformed. Request a new one.","Tautan reset ini hilang atau rusak. Minta yang baru."
"mobile","new","mobile:auth","auth.updatePassword","Update password","Perbarui kata sandi"
"mobile","new","mobile:auth","auth.youCanNowSignIn","You can now sign in with your new password.","Sekarang Anda bisa masuk dengan kata sandi baru."
"mobile","new","mobile:calls","calls.accept","Accept","Terima"
"mobile","new","mobile:calls","calls.awaitingPermission","Awaiting permission","Menunggu izin"
"mobile","new","mobile:calls","calls.callDeclined","Call declined","Panggilan ditolak"
"mobile","new","mobile:calls","calls.callEnded","Call ended","Panggilan berakhir"
"mobile","new","mobile:calls","calls.callFailed","Call failed","Panggilan gagal"
"mobile","new","mobile:calls","calls.callUnavailable","Call unavailable","Panggilan tidak tersedia"
"mobile","new","mobile:calls","calls.calling","Calling...","Memanggil..."
"mobile","new","mobile:calls","calls.close","Close","Tutup"
"mobile","new","mobile:calls","calls.connectionFailed","Connection failed","Koneksi gagal"
"mobile","new","mobile:calls","calls.couldNotStartTheCall","Could not start the call","Gagal memulai panggilan"
"mobile","new","mobile:calls","calls.decline","Decline","Tolak"
"mobile","new","mobile:calls","calls.declined","Declined","Ditolak"
"mobile","new","mobile:calls","calls.end","End","Akhiri"
"mobile","new","mobile:calls","calls.lineBusy","Line busy","Saluran sibuk"
"mobile","new","mobile:calls","calls.noAnswer","No answer","Tidak dijawab"
"mobile","new","mobile:calls","calls.requestingPermission","Requesting permission...","Meminta izin..."
"mobile","new","mobile:calls","calls.ringing","Ringing...","Berdering..."
"mobile","new","mobile:calls","calls.speaker","Speaker","Speaker"
"mobile","new","mobile:calls","calls.waitingForApproval","Waiting for approval","Menunggu persetujuan"
"mobile","new","mobile:calls","calls.waitingForCustomerApproval","Waiting for customer approval...","Menunggu persetujuan pelanggan..."
"mobile","new","mobile:chat","chat.24HourWindowClosedOnly","24-hour window closed. Only template messages can be sent.","Jendela 24 jam sudah tertutup. Hanya pesan template yang bisa dikirim."
"mobile","new","mobile:chat","chat.24h","24H",""
"mobile","new","mobile:chat","chat.aUsedCarInstead","A used car instead","Mobil bekas"
"mobile","new","mobile:chat","chat.addANoteForYour","Add a note for your team","Tambah catatan untuk tim Anda"
"mobile","new","mobile:chat","chat.addAsNote","Add as note","Tambah sebagai catatan"
"mobile","new","mobile:chat","chat.advancedFilters","Advanced Filters","Filter Lanjutan"
"mobile","new","mobile:chat","chat.all","All","Semua"
"mobile","new","mobile:chat","chat.anotherBrand","Another brand","Merek lain"
"mobile","new","mobile:chat","chat.apply","Apply","Terapkan"
"mobile","new","mobile:chat","chat.assignAgent","Assign agent","Tugaskan agen"
"mobile","new","mobile:chat","chat.attach","Attach","Lampirkan"
"mobile","new","mobile:chat","chat.boughtElsewhere","Bought elsewhere","Beli di tempat lain"
"mobile","new","mobile:chat","chat.call","Call","Telepon"
"mobile","new","mobile:chat","chat.callOverWhatsapp","Call over WhatsApp","Telepon lewat WhatsApp"
"mobile","new","mobile:chat","chat.camera","Camera","Kamera"
"mobile","new","mobile:chat","chat.campaign","Campaign","Kampanye"
"mobile","new","mobile:chat","chat.changedMindNotBuying","Changed mind / not buying","Berubah pikiran / tidak jadi beli"
"mobile","new","mobile:chat","chat.chooseTheFinalStageTo","Choose the final stage to close this lead.","Pilih tahap akhir untuk menutup prospek ini."
"mobile","new","mobile:chat","chat.clearAll","Clear all","Hapus semua"
"mobile","new","mobile:chat","chat.closeAs","Close as","Tutup sebagai"
"mobile","new","mobile:chat","chat.competitorPromo","Competitor promo","Promo kompetitor"
"mobile","new","mobile:chat","chat.contactCard","Contact card","Kartu kontak"
"mobile","new","mobile:chat","chat.copy","Copy","Salin"
"mobile","new","mobile:chat","chat.couldNotLoadAgents","Could not load agents","Gagal memuat agen"
"mobile","new","mobile:chat","chat.couldNotLoadImage","Could not load image","Gagal memuat gambar"
"mobile","new","mobile:chat","chat.couldNotLoadNotes","Could not load notes","Gagal memuat catatan"
"mobile","new","mobile:chat","chat.couldNotLoadResults","Could not load results","Gagal memuat hasil"
"mobile","new","mobile:chat","chat.couldNotLoadStages","Could not load stages","Gagal memuat tahap"
"mobile","new","mobile:chat","chat.couldNotLoadTemplates","Could not load templates","Gagal memuat template"
"mobile","new","mobile:chat","chat.createMessageTemplatesOnThe","Create message templates on the web dashboard.","Buat template pesan di dasbor web."
"mobile","new","mobile:chat","chat.customTime","Custom time...","Waktu khusus..."
"mobile","new","mobile:chat","chat.didnTBuy","Didn't buy","Tidak jadi beli"
"mobile","new","mobile:chat","chat.document","Document","Dokumen"
"mobile","new","mobile:chat","chat.errorSearchingMessages","Error searching messages","Gagal mencari pesan"
"mobile","new","mobile:chat","chat.failedToLoadStages","Failed to load stages","Gagal memuat tahap"
"mobile","new","mobile:chat","chat.filterByDate","Filter by date","Filter berdasarkan tanggal"
"mobile","new","mobile:chat","chat.financingRejected","Financing rejected","Pembiayaan ditolak"
"mobile","new","mobile:chat","chat.holdForVideoTapFor","Hold for video, tap for photo","Tahan untuk video, ketuk untuk foto"
"mobile","new","mobile:chat","chat.in3Days","In 3 days","Dalam 3 hari"
"mobile","new","mobile:chat","chat.inAppVoiceCall","In-app voice call","Panggilan suara dalam aplikasi"
"mobile","new","mobile:chat","chat.interestLevel","Interest Level","Tingkat Minat"
"mobile","new","mobile:chat","chat.internalNotes","Internal notes","Catatan internal"
"mobile","new","mobile:chat","chat.jobSeeker","Job seeker","Pencari kerja"
"mobile","new","mobile:chat","chat.latest","Latest","Terbaru"
"mobile","new","mobile:chat","chat.leadActions","Lead actions","Aksi prospek"
"mobile","new","mobile:chat","chat.lostReason","Lost reason","Alasan kalah"
"mobile","new","mobile:chat","chat.markAsLost","Mark as Lost","Tandai Kalah"
"mobile","new","mobile:chat","chat.mediaLibrary","Media library","Pustaka media"
"mobile","new","mobile:chat","chat.message","Message","Pesan"
"mobile","new","mobile:chat","chat.messageText","Message text","Teks pesan"
"mobile","new","mobile:chat","chat.messages","Messages","Pesan"
"mobile","new","mobile:chat","chat.moveStage","Move stage","Pindah tahap"
"mobile","new","mobile:chat","chat.name","Name","Nama"
"mobile","new","mobile:chat","chat.newLeadsAndChatsWill","New leads and chats will appear here.","Prospek dan chat baru akan muncul di sini."
"mobile","new","mobile:chat","chat.newShortcut","New shortcut","Pintasan baru"
"mobile","new","mobile:chat","chat.noBudgetPostponed","No budget / postponed","Tidak ada anggaran / ditunda"
"mobile","new","mobile:chat","chat.noConversations","No conversations","Tidak ada percakapan"
"mobile","new","mobile:chat","chat.noMatches","No matches","Tidak ada yang cocok"
"mobile","new","mobile:chat","chat.noMessagesFound","No messages found","Tidak ada pesan ditemukan"
"mobile","new","mobile:chat","chat.noMessagesYet","No messages yet","Belum ada pesan"
"mobile","new","mobile:chat","chat.noMessagesYetSayHello","No messages yet. Say hello!","Belum ada pesan. Sapa dulu!"
"mobile","new","mobile:chat","chat.noNotesYet","No notes yet","Belum ada catatan"
"mobile","new","mobile:chat","chat.noResponse","No response","Tidak ada respons"
"mobile","new","mobile:chat","chat.noShortcutsYetAddOne","No shortcuts yet, add one above.","Belum ada pintasan, tambahkan satu di atas."
"mobile","new","mobile:chat","chat.noStage","No stage","Tidak ada tahap"
"mobile","new","mobile:chat","chat.noTemplates","No templates","Tidak ada template"
"mobile","new","mobile:chat","chat.notPurchase","Not Purchase","Tidak Beli"
"mobile","new","mobile:chat","chat.notSet","Not set","Belum diatur"
"mobile","new","mobile:chat","chat.notesAreVisibleOnlyTo","Notes are visible only to your team.","Catatan hanya terlihat oleh tim Anda."
"mobile","new","mobile:chat","chat.oldest","Oldest","Terlama"
"mobile","new","mobile:chat","chat.open","Open","Buka"
"mobile","new","mobile:chat","chat.outOfArea","Out of area","Di luar jangkauan"
"mobile","new","mobile:chat","chat.pdfDocument","PDF Document","Dokumen PDF"
"mobile","new","mobile:chat","chat.phoneDialer","Phone dialer","Panggilan telepon"
"mobile","new","mobile:chat","chat.pickTheFinalStageFirst","Pick the final stage first","Pilih tahap akhir dulu"
"mobile","new","mobile:chat","chat.priceTooHigh","Price too high","Harga terlalu tinggi"
"mobile","new","mobile:chat","chat.recording","Recording...","Merekam..."
"mobile","new","mobile:chat","chat.repliedByAgent","Replied by agent","Dibalas oleh agen"
"mobile","new","mobile:chat","chat.repliedBySimpuler","Replied by Simpuler","Dibalas oleh Simpuler"
"mobile","new","mobile:chat","chat.reset","Reset","Reset"
"mobile","new","mobile:chat","chat.sameBrandOtherDealer","Same brand, other dealer","Merek sama, dealer lain"
